No.,Social_acceptance,Comment
1,No,আবাল মার্কা সাংঘাতিক
2,No,ছাগল কোথাকার।
3,No,কোটার মাল
4,No,রেজিস্ট্রার একটা বলদের আতুরি।
5,No,"প্রতিবন্ধী কোটার রেজিস্ট্রার, মাইন্ড তো করবেই।"
6,No,উনি কি বুকাসুদা
7,No,তুই শুধু ছাগল নাছাগলদের নেতা- ভানু
8,No,ছেচরা পোলাপান
9,No,তামশা চোদাও। মাড়া খাইতে গেছিলো কেন
10,No,হ্যান্ডেল মারা থেকে বিরত থাকুন
11,No,জ্বী ভাই।আপনাগো তালতো কি রুমে হিজরা নিয়ে গেসিলো?? সেটা কেনো এতো তড়ি ঘড়ি করে ছাপেন না।হেফাজত কে এতোদিন চাটছেন আপনাদের প্রশাসন। এখন হেফাজত দুর্গন্ধ ময় হয়ে গেলো।মাইয়া বাজ হয়ে গেলো! ফালতু পত্রিকা একটা।
12,No,এখন হেফাজতে ইসলামীর পায়ু সৈনিকরা বলবে সীমিত পরিসরে ধর্ষণ করা জায়েজ।
13,No,"নতুন টোকেন ""ধর্ষণ ""।"
14,No,বর্তমানে মুসলিম উম্মাহ একটি কঠিন সময় পার করছে অভিযোগের দীর্ঘ শ্বাস বাড়তেছে
15,No,"মানুষ আবাল নয়, সবেই বুজে আলেম সমাজকে হেয় করার জন্য আর কত মিত্যাচার করবে..?"
16,No,হেফাজত একটি ধর্ষক দের দল।
17,No,আল্লাহ আপনি সহায় হউন আমিন
18,No,নিশ্চয় জুলুমকারী কে আল্লাহ পছন্দ করেন না
19,No,"আহারে ধর্ষক যদি সেদিন কনডম ব্যবহার করতো, তাহলে এরকম সংবাদ কর্মীর জন্ম হতো না"
20,No,আললাহর গজব অনিবার্য ভারতের চেয়েও ভয়াবহ হবে।এই হাসিনা মাগির দূঃশাসনে
21,No,হলুদ সাংবাদিকদের উপর খোদায়ী গজব অবশ্যম্ভাবী।।
22,No,নুনু
23,No,ওরে চো*খবর
24,No,নাউজুবিল্লাহ মিন জালিক
25,No,আল্লাহ তুমি ওদের হেদায়ত করো
26,No,তথ্যসন্ত্রাসী এরা এটা সবাই জানে
27,No,দাজ্জালী শক্তির একটা
28,No,শালারা শুধু আকাম করছে প্রচুর পরিমাণে বিচার করা হোক এবং তাদেরকে ফাঁসিতে ঝুলানো হোক
29,No,সাধারন মানুষ তাদের পরিবারের সাথে ঈদ করবে এটা সাভাবিক আর আপনারা সেটা ঠেকাতে পারবেন না এটা তো বুঝতে পারছেন শুধু কেন পরিবহন আটকে রেখে মানুষের ভোগানতি বাড়ানো
30,No,এই পবিত্র রমজানে ওলামাদের মিথ্যা অপবাদ দিয়ে হয়েরানি করেচছ তোদের ওপর আল্লাহর গজব পড়বে মনে রাখিস
31,No,"হাসরের ময়দানে তোমাদের ও বিচার তাদের ও বিচার হবে সেদিন বুঝবা মিথ্যা বানোয়াট মামলা দেয়ার শাস্তি,"
32,No,মোমবাতি গুলো ধর্ষণকারীদের হুগায় জ্বালিয়ে দাও। হুগা শান্তি পাবে।এবং শুক্রাণুগুলো মারা যাবে।
33,No,এখন যারা প্রতিবাদ করতেছে তারা আজ নয় কাল ধষন করবে
34,No,মোমবাতির আগুনে জ্বলে পুড়ে যাক ধর্ষকের সব
35,No,মোম্বাতিকেও সেক্স টয় হিসেবে ব্যাবহার করা যেত।
36,No,"আর কত মিথ্যাচার করবি রে,,,,,,,,,,,"
37,No,"তোমাদের এসব নিউজ মানুষ কিভাবে নিচ্ছে,,,,,?? মানুষের কাছে এখন মিডিয়া আর সরকার অনাস্থার প্রতিক।"
38,No,নোংরা রাজনৈতিক দেশে সব সম্ভব।
39,No,আল্লাহ জালেমদের হাত থেকে আলেমদের হেফাজত করুণ
40,No,পাবলিক এইসব মিথ্যা সংবাদ খায়না এখন
41,No,আনভিরের মোবাইলে কত হাজার মেয়ের নম্বর আছে। পুলিশ চেক করে না কেন
42,No,আল্লা ষড়যন্ত্র কারীদের উপর সহসা গজব ডালো।
43,No,মামলা দেন ভালো কথা । গ্রহণযোগ্য মামলা দেন!
44,No,এভাবেই বিশ্বের দরবারে ইসলামকে ছোট করে তুলে দরার চেয়ে বাংলাদেশে মুসলিম পরিচয় দেওয়া নিষিদ্ধ করলেই হয়।
45,No,কিছু কিছু সাংঘাতিক ভাইয়েরা আর কিছু দিন পরে পিতৃহীনের পরিচয় দিবে এটাই মনে হচ্ছে।
46,No,মহিলার ডিএনএ টেষ্ট করে প্রমানিত হলে হুজুরকে আইনানুযায়ী কঠিন সাজা দেয়া হোক।না হলে অপবাদ দেয়া বন্ধ হোক।
47,No,করোনা আর হেফাজত ছারা মিডিয়া দেহি অচল!আর কোনো নিউজই করতে পারেন না।
48,No,"যখন সূর্য ডুবে যায়, তখন বাতি দিয়ে আলোকিত করা যায় না।"
49,No,গুলশানে মুনিয়া কে মনে হচ্ছে এই হেফাজতের নেতাই ধর্ষণ করে ঝুলিয়ে ছিল!!
50,No,তোরাতো এক হেফাজতই পাইছত ফকিন্নির দলহেফাজান খুন করে গুম করে ধর্ষণ করে চুরি করে ডাকাতি করেসবই হেফাজতই করেনতুন কিছু বাহির কর হেফাজত নিয়াদালালের বাচ্ছারা
51,No,"হে আল্লাহ এদের উপর তোমার গজব নাজিল করো,,যারা এমন সব মিথ্যা বানোয়াট কথা বলে ,,, কিন্তু জারজ লীগের বুড়া,জোয়ান,,চেংরা পুরুষ অনেক অনেকের নামে প্রকাশ্যে ধর্ষণের অভিযোগে অভিযুক্ত হয়েছে কিন্তু তাদের বিচার করবে কে???"
52,No,"সব ধর্ষণ এরাই করছে,,,বর্তমানে তো কোন ধর্ষণ এ হচ্ছে না।।। মুসলিমরাই যদি মুসলিমের পিছনে বাঁশ দেয়,,কিছুই করার থাকে না।।। ইনশাআল্লাহ সময় একদিন কথা বলবে"
53,No,আওয়ামীলীগ একটা জিনিসই ভাইরে
54,No,"এসব ঢং বন্ধ করেন,অযথা মোমবাতি গুলো অপচয় করতেছেন কেন!"
55,No,দিহানেরা কাউকে রেহাই দেবেনা।আনুশকাদেরই সাবধান হতে হবে।
56,No,গ্রুপ স্টাডি না কি গ্রুপ সেক্স?
57,No,"মোমবাতি নিভে যাওয়ার পর আরেকটা ঘটনা ঘটে যাবে,বেপর্দা পাপিষ্ঠ জাতির কাছে এর ছেয়ে ভালো কিছু আসা করা যায়না।"
58,No,ধর্ষক প্রমাণিত হওয়ার পর ধর্ষকের বিচার মৃত্যুদণ্ড না হওয়া পর্যন্ত ধর্ষণ কখনো কোনোদিন থামবে না চলবেই...।
59,No,এতে লাভ কি??বাবা মা সামলাতে না পারলে জন্মদেয় কেন?? ছেলের বাবা মা ভাই এর ছবি কোথায় ছড়িয়ে দেওয়া হয় না কেন?? তাহলে টনক নড়বে
60,No,সমাজব্যবস্থায় পরিবর্তন দরকার
61,No,মোমবাতি জ্বালালে কি হবে???
62,No,তোরা আগে গ্রেফতার কর। পরে হাজারটা মামলা দিয়ে আটকানো যাবে।
63,No,ঘৃণিত অপরাধ ।
64,No,"পার্বত্য চট্টগ্রামে মুসলিম হওয়ার কারণে একজন মানুষকে ব্রাশ ফায়ার করে মারা হল,তা নিয়ে তো কোন মিডিয়া নিউজ করতে দেখলানা।"
65,No,এভাবে অপ্রাসঙ্গিকভাবে সাম্প্রদায়িকতা টেনে আনা? চুটিয়া সংবাদ মাধ্যম ৷
66,No,ঘটনা মাদক এর ফেইসবক পোষ্ট নিয়া অথচ সবাই পূজা বন্ধ করে প্রতিবাদ করছে।এখানে পূজা পালনে কেও তো বাধা দেয় নি। ২ টা কি এক জিনিস হইল। বুজলাম না ব্যাপার টা।
67,No,তীব্র নিন্দা জানাই
68,No,এটার প্রভাব ভারতের বিভিন্ন রাজ্যে পরতে পারে
69,No,এক শ্রেনী এটা কে আবার সংখ্যালঘু নির্যাতন বলে চালাবে!!
70,No,এক ভাই অন্য ভাইয়ের উপর হামলা করেছে
71,No,প্রথম আলোর অন্যান্য জেলাপ্রতিনিধিদেরকে আরো তৎপর হতে হবে । বিশেষ কিছু জেলা আছে সেখানে স্থানীয় সাংবাদিকরা মাসোয়ারা পায় বলে স্থানীয় রাজনৈতিক দুর্বৃত্তায়নের কোন খবরই জাতি জানতে পারেনা ।
72,No,হায় মুজিব সন্তান।
73,No,সালাগো কর্মের ঠিক নাই ধর্ম নিয়া বাড়াবাড়ি।
74,No,বেয়াদব গুলোর জন্য ইসলামধর্ম এর ক্ষতি হচ্ছে। হাস্যকর এ পরিনত করে আমাদের কে। এদের জনগণের হাতে তুলে দিন।
75,No,চুরি করবে কিন্তু চোর বলা যাবে না
76,No,ধীমান ঘোষ নিজেও ছাত্রলীগ।অকারণে ধর্মের নাম টেনে সাম্প্রদায়িক বিভেদ ছড়াচ্ছেন কেন?
77,No,"আচ্ছা সংবাদীকরা....কি গাজা না খেয়ে শিরোনাম দিতে পারে না??? .....মাদক সম্পর্কে স্ট্যাটাস দেওয়াকে কেন্দ্র করে এইটা হইছে.....আর শিরোনাম এমন লেখছে যে মনেহয় পূজা উদযাপন নিয়ে স্ট্যাটাসের কারনে হামলা.......আপনারা শালা, মানুষের শুধু শিরোনাম দেখাকে পুজি করে চলেন....শিরোনাম হতে পারত ফেসবুকের মাদক স্ট্যাটাসের কারনে ধীমানের ওপর হামলা... ধীমান ..পূজা...উদযাপন কমিটির নেতা"
78,No,"সবাই আতংকিত হবেন না,ভালোভাবে খবর নিলে বিম্পি-জামাত-হেফাজতের যোগসূত্র পাওয়া যেতে পারে, তাই সবাইকে ধৈর্য্য ধরার অনুরোধ করছি"
79,No,এই ছাত্রলীগ নেতাকে হেফাজতের আহ্বায়ক ঘোষনা করা হউক।মামুনুল হকের জায়গা পূরনের যোগ‍্য প্রার্থী পাত্তয়া গেছে।
80,No,বাংলাদেশ নামক রাষ্ট্রের পূর্ব পরিকল্পিত ঘটনা ---
81,No,সোনার ছেলে বলে কথা!!
82,No,ওরা একই জাত দুঃখ্য পাওয়ার কিছু নাই
83,No,"এখন সবাই ই ছাত্রলীগ,সবাই ছাত্রলীগ ট্যাগ নিয়ে চলে।"
84,No,ওরা কি আসলেই ছাত্রলীগ ? নাকি ইসকন ধর্মীয় কেও ? কারণ সাধারণ হিন্দুদের সাথে ইসকন সন্ত্রাসী হিন্দুদের ব্যাপক শত্রুতা ।
85,No,খুবি বাজে কাজ। মানুষের মধ্যে সম্পৃতি নষ্ট হচ্ছে।
86,No,ছাত্রলীগ ব্যতীত হিন্দু ভাইদের উপর কেউ আঘাত করে নাই ।
87,No,"ওরা তো ভাই ভাই,কোন সমস্যা নাই!"
88,No,সোনার ছেলেদের কাজকারবার নিয়ে লিখতে লজ্জা হয়না আপনাদের।
89,No,"এটা কি সত্যিই ছাত্রলীগ করেছে???প্রথম আলোকে বলবো ভালো করে খবর নিন।এটা হেফাজতের কাজ নয় তো?দেখুন সুনামগঞ্জের শাল্লায় কিন্তু হিন্দু পল্লীতে আক্রমণকারী হলো ওয়ার্ড আওয়ামী লীগের সভাপতি স্বাধীন মেম্বার। তার কিছুই হয়নি। আর সরকার, পুলিশ আর মোদী বলে বেড়াচ্ছে হেফাজতে ইসলামের নাম।আমাদেরকে সঠিক তথ্যটাই দিন।"
90,No,এখন মানববন্ধন হবে না
91,No,"দুই বিপরীত ধর্মের মানুষের মাঝে সম্পূর্ণ ভিন্ন একটি ঘটনা নিয়ে সংঘর্ষ হয়েছে সুতরাং দয়াকরে কেউ এরমাঝে ""ইসলাম ধর্ম"" কিংবা ""হিন্দু ধর্ম"" কে টেনে আনবেন না।।"
92,No,এখানে পূজা পরিষদের কাজ কি? কেউ কি পূজা অর্চনায় বাধা দিয়েছে?
93,No,দুঃখ জনক... সঠিক বিচার হওয়া উচিত.....
94,No,আমি এর তিব্র নিন্দা জানাচ্ছি
95,No,মগের মুল্লুক
96,No,"কতোটা প্রতিহিংসা পরায়ন হলে এমন কাজ করতে পারে! যে দেশের শিক্ষকদের নিয়ে মানুষ হাসাহাসি করে, থুথু মারে, সে দেশের অন্যদের কি অবস্থা হবে তার প্রমাণ প্রতিদিন খবরের কাগজে বের হচ্ছে!"
97,No,প্রতিবন্ধি কোটায় চাকরি হলেতো এমনটাই হবে। গাজাখোর হলে এমনটাও হয়
98,No,কার জন্য প্রযোজ্য? শিক্ষক না রেজিস্ট্রার? এর মানে যে রেজিস্ট্রার বুঝতে পারবেনা তিনি একটা গুরুত্বপূর্ণ দায়িত্বে থাকার সম্পূর্ণ অযোগ্য। এঁরা শুধু আগাছার জন্ম দিবেন। এদেরকে দ্রুত অন্যত্র সরিয়ে দেওয়া হোক।
99,No,একটা দেশকে ধংস করার জন্য তার শিক্ষা প্রতিষ্ঠান গুলিকে আগে ধংস করতে হয়। তারি ষোল কলা পূরন হতে আর বাকি নাই।
100,No,পাবলিক বিশ্ববিদ্যালয় গুলো একটা মসকারার জায়গা হয়ে উঠতেছে দিনদিন।
101,No,পাবলিক বিশব্বিদ্যালয় গুলো অযোগ্যদের দখলে এখন!
102,No,বুজতে কারা সব চালায়। মূর্খ বল্লে মূর্খেরও অপমান।
103,No,অবশ্যই লিখা উচিৎ ছিল .তাহলেই বুঝা যেত রেজিস্ট্রার কত ক্ষমতাশালী ।
104,No,ভাইরে ভাই। কিএক্তা অবস্থা।
105,No,ঘুষ নিয়ে চাকুরী দিলে এর চেয়ে আর কি আশা করা যায়
106,No,"ইনাদের অযোগ্যতার দায় যারা এঁদের নিয়োগ দিয়েছেন, তাঁদের।"
107,No,কোন জমিদারের বাচ্চা এরা?
108,No,রেজিস্ট্রার হচ্ছে বড় গাধা অর উপাচার্য হচ্ছে হাড়ে হারামজাদা।
109,No,"ছাগল দিয়ে যেখানে হয় হালচাষ, রামছাগল সেখানে হয় রেজিস্ট্রার।"
