No.,Social_acceptance,Comment
1,No,আবাল মার্কা সাংঘাতিক
4,No,রেজিস্ট্রার একটা বলদের আতুরি।
5,No,"প্রতিবন্ধী কোটার রেজিস্ট্রার, মাইন্ড তো করবেই।"
6,No,উনি কি বুকাসুদা
7,No,তুই শুধু ছাগল না ছাগলদের নেতা
9,No,তামশা চোদাও। মাড়া খাইতে গেছিলো কেন
10,No,হ্যান্ডেল মারা থেকে বিরত থাকুন
11,No,জ্বী ভাই।আপনাগো তালতো কি রুমে হিজরা নিয়ে গেসিলো?? সেটা কেনো এতো তড়ি ঘড়ি করে ছাপেন না।হেফাজত কে এতোদিন চাটছেন আপনাদের প্রশাসন। এখন হেফাজত দুর্গন্ধ ময় হয়ে গেলো।মাইয়া বাজ হয়ে গেলো! ফালতু পত্রিকা একটা।
12,No,এখন হেফাজতে ইসলামীর পায়ু সৈনিকরা বলবে সীমিত পরিসরে ধর্ষণ করা জায়েজ।
13,Yes,"নতুন টোকেন ""ধর্ষণ ""।"
14,Yes,বর্তমানে মুসলিম উম্মাহ একটি কঠিন সময় পার করছে অভিযোগের দীর্ঘ শ্বাস বাড়তেছে
16,No,হেফাজত একটি ধর্ষক দের দল।
17,Yes,আল্লাহ আপনি সহায় হউন আমিন
18,Yes,নিশ্চয় জুলুমকারী কে আল্লাহ পছন্দ করেন না
19,No,"আহারে ধর্ষক যদি সেদিন কনডম ব্যবহার করতো, তাহলে এরকম সংবাদ কর্মীর জন্ম হতো না"
20,No,আললাহর গজব অনিবার্য ভারতের চেয়েও ভয়াবহ হবে।এই হাসিনা মাগির দূঃশাসনে
21,No,হলুদ সাংবাদিকদের উপর খোদায়ী গজব অবশ্যম্ভাবী।।
24,Yes,নাউজুবিল্লাহ মিন জালিক
25,Yes,আল্লাহ তুমি ওদের হেদায়ত করো
26,Yes,তথ্যসন্ত্রাসী এরা এটা সবাই জানে
29,Yes,সাধারন মানুষ তাদের পরিবারের সাথে ঈদ করবে এটা সাভাবিক আর আপনারা সেটা ঠেকাতে পারবেন না এটা তো বুঝতে পারছেন শুধু কেন পরিবহন আটকে রেখে মানুষের ভোগানতি বাড়ানো
31,Yes,"হাসরের ময়দানে তোমাদের ও বিচার তাদের ও বিচার হবে সেদিন বুঝবা মিথ্যা বানোয়াট মামলা দেয়ার শাস্তি,"
32,No,মোমবাতি গুলো ধর্ষণকারীদের হুগায় জ্বালিয়ে দাও। হুগা শান্তি পাবে।এবং শুক্রাণুগুলো মারা যাবে।
34,No,মোমবাতির আগুনে জ্বলে পুড়ে যাক ধর্ষকের সব
35,No,মোম্বাতিকেও সেক্স টয় হিসেবে ব্যাবহার করা যেত।
36,Yes,"আর কত মিথ্যাচার করবি রে,,,,,,,,,,,"
37,Yes,"তোমাদের এসব নিউজ মানুষ কিভাবে নিচ্ছে,,,,,?? মানুষের কাছে এখন মিডিয়া আর সরকার অনাস্থার প্রতিক।"
38,Yes,নোংরা রাজনৈতিক দেশে সব সম্ভব।
39,Yes,আল্লাহ জালেমদের হাত থেকে আলেমদের হেফাজত করুণ
40,Yes,পাবলিক এইসব মিথ্যা সংবাদ খায়না এখন
41,Yes,আনভিরের মোবাইলে কত হাজার মেয়ের নম্বর আছে। পুলিশ চেক করে না কেন
42,No,আল্লা ষড়যন্ত্র কারীদের উপর সহসা গজব ডালো।
43,Yes,মামলা দেন ভালো কথা । গ্রহণযোগ্য মামলা দেন!
44,Yes,এভাবেই বিশ্বের দরবারে ইসলামকে ছোট করে তুলে দরার চেয়ে বাংলাদেশে মুসলিম পরিচয় দেওয়া নিষিদ্ধ করলেই হয়।
45,No,কিছু কিছু সাংঘাতিক ভাইয়েরা আর কিছু দিন পরে পিতৃহীনের পরিচয় দিবে এটাই মনে হচ্ছে।
46,Yes,মহিলার ডিএনএ টেষ্ট করে প্রমানিত হলে হুজুরকে আইনানুযায়ী কঠিন সাজা দেয়া হোক।না হলে অপবাদ দেয়া বন্ধ হোক।
47,Yes,করোনা আর হেফাজত ছারা মিডিয়া দেহি অচল!আর কোনো নিউজই করতে পারেন না।
48,Yes,"যখন সূর্য ডুবে যায়, তখন বাতি দিয়ে আলোকিত করা যায় না।"
49,No,গুলশানে মুনিয়া কে মনে হচ্ছে এই হেফাজতের নেতাই ধর্ষণ করে ঝুলিয়ে ছিল!!
50,No,তোরাতো এক হেফাজতই পাইছত ফকিন্নির দলহেফাজান খুন করে গুম করে ধর্ষণ করে চুরি করে ডাকাতি করেসবই হেফাজতই করেনতুন কিছু বাহির কর হেফাজত নিয়াদালালের বাচ্ছারা
51,No,"হে আল্লাহ এদের উপর তোমার গজব নাজিল করো,,যারা এমন সব মিথ্যা বানোয়াট কথা বলে ,,, কিন্তু জারজ লীগের বুড়া,জোয়ান,,চেংরা পুরুষ অনেক অনেকের নামে প্রকাশ্যে ধর্ষণের অভিযোগে অভিযুক্ত হয়েছে কিন্তু তাদের বিচার করবে কে???"
,,
53,Yes,আওয়ামীলীগ একটা জিনিসই ভাইরে
54,Yes,"এসব ঢং বন্ধ করেন,অযথা মোমবাতি গুলো অপচয় করতেছেন কেন!"
55,Yes,দিহানেরা কাউকে রেহাই দেবেনা।আনুশকাদেরই সাবধান হতে হবে।
56,No,গ্রুপ স্টাডি না কি গ্রুপ সেক্স?
57,No,"মোমবাতি নিভে যাওয়ার পর আরেকটা ঘটনা ঘটে যাবে,বেপর্দা পাপিষ্ঠ জাতির কাছে এর ছেয়ে ভালো কিছু আসা করা যায়না।"
